Title;Description;Role Segment;Key Responsibilities;Career Level Expectations
Accenture Leadership Services Management Senior Manager;Support Accenture Leadership processes including but not limited to performance & personnel management, promotions, objective setting, planning & affordability, headcount tracking & business support. Integrate, deliver and/or help planning standard tools, materials & data for these processes by interfacing with key groups involved. Streamline/standardize delivery across geographies & entity support teams. Build & maintain relationships with key teams across finance, HR, mobility & other areas.;Human Resources;Manage relationships with stakeholder group and key individuals aligned to DTEs, GUs and CoEs. Apply knowledge of various global entities, geographies, processes, as well as the company's strategic business objectives to successfully execute responsibilities. Ensure that all activities are executed to minimize risk to Accenture, make sure that new precedents are appropriate to the business and Legal is involved as needed in all  Accenture Leadership Matters. Serve as a deep subject matter expert in  Accenture Leadership Matters providing guidance on sensitive situations and policies. Work with other teams to design, support and deliver standard tools, materials, process and data to implement and execute processes. Ensure the effective delivery of HRSS tools and materials according to defined schedule. Responsible for the delivery and execution of standardized processes and programs that support  Accenture Leadership i.e.  Accenture Leadership Performance Management , L4 Promotions, Objective Setting and Review, Compensation and benefits,  Accenture Leadership payroll planning and affordability and  Accenture Leadership Headcount tracking. Create and enforce service level agreements for standard processes created to support the  Accenture Leadership Service Delivery function Accenture Leadership Business Support. Assess risks and provide mitigating solutions as needed for personnel action requests. Provide guidance to Shared Services Planning and Tracking team in processing of  Accenture Leadership transition requests. Ensure local regulations/laws are adhered to for individual  Accenture Leadership's. Act as a central point of contact for local HR leads and HR Business Partners. Understand payroll impacts and ensure risks and issues are identified Accenture Leadership Planning and Tracking. Manage and support efforts to design, build, test and release a centralized tool and process to capture  Accenture Leadership headcount movement activities (i.e. departures, hires, transfer, other activity), with full reporting capabilities. Review and provide input regarding system updates, collaborate with CoE to influence improvements and participate in system testing. Develop and conduct training of business support and/or end-users of the tools used across activities for  Accenture Leadership planning and tracking. Create and maintain SLA for headcount tracking and planning, raise risk areas for review. Responsible for the management of  Accenture Leadership headcount and related data points, including maintenance of complete, accurate system data and distribution of supporting reports and rosters. Serve as escalation point and/or offer solutions and support to key groups in service delivery across  Accenture Leadership processes.;Requires identifying and assessing complex problems for area(s) of responsibility.  Creates solutions in situations in which analysis requires in-depth knowledge of organizational objectives. Requires involvement in setting strategic direction to establish near-term goals for area(s) of responsibility. Interaction is with senior management levels at a client and/or within Accenture, involving negotiating or influencing on significant matters.Latitude in decision-making and determination of objectives and approaches to critical assignments.Decisions have a lasting impact on area of responsibility with the potential to impact areas outside of own responsibility.Manages large teams and/or work efforts at a client or within Accenture.
Accenture Leadership Services Management Manager;Support Accenture Leadership processes including but not limited to performance & personnel management, promotions, objective setting, planning & affordability, headcount tracking & business support. Integrate, deliver and/or help planning standard tools, materials & data for these processes by interfacing with key groups involved. Streamline/standardize delivery across geographies & entity support teams. Build & maintain relationships with key teams across finance, HR, mobility & other areas.;Human Resources;Manage relationships with stakeholder group and key individuals aligned to DTEs, GUs and CoEs. Apply knowledge of various global entities, geographies, processes, as well as the company's strategic business objectives to successfully execute responsibilities. Ensure that all activities are executed to minimize risk to Accenture, make sure that new precedents are appropriate to the business and Legal is involved as needed in all  Accenture Leadership Matters. Serve as a deep subject matter expert in  Accenture Leadership Matters providing guidance on sensitive situations and policies. Work with other teams to design, support and deliver standard tools, materials, process and data to implement and execute processes. Ensure the effective delivery of HRSS tools and materials according to defined schedule. Responsible for the delivery and execution of standardized processes and programs that support  Accenture Leadership i.e.  Accenture Leadership Performance Management , L4 Promotions, Objective Setting and Review, Compensation and benefits,  Accenture Leadership payroll planning and affordability and  Accenture Leadership Headcount tracking. Create and enforce service level agreements for standard processes created to support the  Accenture Leadership Service Delivery function Accenture Leadership Business Support. Assess risks and provide mitigating solutions as needed for personnel action requests. Provide guidance to Shared Services Planning and Tracking team in processing of  Accenture Leadership transition requests. Ensure local regulations/laws are adhered to for individual  Accenture Leadership's. Act as a central point of contact for local HR leads and HR Business Partners. Understand payroll impacts and ensure risks and issues are identified Accenture Leadership Planning and Tracking. Manage and support efforts to design, build, test and release a centralized tool and process to capture  Accenture Leadership headcount movement activities (i.e. departures, hires, transfer, other activity), with full reporting capabilities. Review and provide input regarding system updates, collaborate with CoE to influence improvements and participate in system testing. Develop and conduct training of business support and/or end-users of the tools used across activities for  Accenture Leadership planning and tracking. Create and maintain SLA for headcount tracking and planning, raise risk areas for review. Responsible for the management of  Accenture Leadership headcount and related data points, including maintenance of complete, accurate system data and distribution of supporting reports and rosters. Serve as escalation point and/or offer solutions and support to key groups in service delivery across  Accenture Leadership processes.;Requires identifying and assessing complex problems for area of responsibility.  Creates solutions in situations in which analysis requires an in-depth evaluation of variable factors. Requires adherence to strategic direction set by senior management when establishing near-term goals. Interaction is with senior management at a client and/or within Accenture, involving matters that may require acceptance of an alternate approach.Some latitude in decision-making.  Acts independently to determine methods and procedures on new assignments.Decisions have a major day to day impact on area of responsibility.Manages large - medium sized teams and/or work efforts at a client or within Accenture.
Accenture Leadership Services Management Associate Manager;Support Accenture Leadership processes including but not limited to performance & personnel management, promotions, objective setting, planning & affordability, headcount tracking & business support. Integrate, deliver and/or help planning standard tools, materials & data for these processes by interfacing with key groups involved. Streamline/standardize delivery across geographies & entity support teams. Build & maintain relationships with key teams across finance, HR, mobility & other areas.;Human Resources;Manage relationships with stakeholder group and key individuals aligned to DTEs, GUs and CoEs. Apply knowledge of various global entities, geographies, processes, as well as the company's strategic business objectives to successfully execute responsibilities. Ensure that all activities are executed to minimize risk to Accenture, make sure that new precedents are appropriate to the business and Legal is involved as needed in all  Accenture Leadership Matters. Serve as a deep subject matter expert in  Accenture Leadership Matters providing guidance on sensitive situations and policies. Work with other teams to design, support and deliver standard tools, materials, process and data to implement and execute processes. Ensure the effective delivery of HRSS tools and materials according to defined schedule. Responsible for the delivery and execution of standardized processes and programs that support  Accenture Leadership i.e.  Accenture Leadership Performance Management , L4 Promotions, Objective Setting and Review, Compensation and benefits,  Accenture Leadership payroll planning and affordability and  Accenture Leadership Headcount tracking. Create and enforce service level agreements for standard processes created to support the  Accenture Leadership Service Delivery function Accenture Leadership Business Support. Assess risks and provide mitigating solutions as needed for personnel action requests. Provide guidance to Shared Services Planning and Tracking team in processing of  Accenture Leadership transition requests. Ensure local regulations/laws are adhered to for individual  Accenture Leadership's. Act as a central point of contact for local HR leads and HR Business Partners. Understand payroll impacts and ensure risks and issues are identified Accenture Leadership Planning and Tracking. Manage and support efforts to design, build, test and release a centralized tool and process to capture  Accenture Leadership headcount movement activities (i.e. departures, hires, transfer, other activity), with full reporting capabilities. Review and provide input regarding system updates, collaborate with CoE to influence improvements and participate in system testing. Develop and conduct training of business support and/or end-users of the tools used across activities for  Accenture Leadership planning and tracking. Create and maintain SLA for headcount tracking and planning, raise risk areas for review. Responsible for the management of  Accenture Leadership headcount and related data points, including maintenance of complete, accurate system data and distribution of supporting reports and rosters. Serve as escalation point and/or offer solutions and support to key groups in service delivery across  Accenture Leadership processes.;Requires analysis and solving of moderately complex problems. Typically creates new solutions, leveraging and, where needed, adapting existing methods and procedures. Requires understanding of the strategic direction set by senior management as it relates to team goals. Primary upward interaction is with direct supervisor or team leads.and Generally interacts with peers and/or management levels at a client and/or within Accenture.Requires minimal guidance when determining methods and procedures on new assignments.Decisions often impact the team in which they reside and occasionally impact other teams.Manages medium-small sized teams and/or work efforts at a client or within Accenture.
Accenture Leadership Services Management Specialist;Support Accenture Leadership processes including but not limited to performance & personnel management, promotions, objective setting, planning & affordability, headcount tracking & business support. Integrate, deliver and/or help planning standard tools, materials & data for these processes by interfacing with key groups involved. Streamline/standardize delivery across geographies & entity support teams. Build & maintain relationships with key teams across finance, HR, mobility & other areas.;Human Resources;Manage relationships with stakeholder group and key individuals aligned to DTEs, GUs and CoEs. Apply knowledge of various global entities, geographies, processes, as well as the company's strategic business objectives to successfully execute responsibilities. Ensure that all activities are executed to minimize risk to Accenture, make sure that new precedents are appropriate to the business and Legal is involved as needed in all  Accenture Leadership Matters. Serve as a deep subject matter expert in  Accenture Leadership Matters providing guidance on sensitive situations and policies. Work with other teams to design, support and deliver standard tools, materials, process and data to implement and execute processes. Ensure the effective delivery of HRSS tools and materials according to defined schedule. Responsible for the delivery and execution of standardized processes and programs that support  Accenture Leadership i.e.  Accenture Leadership Performance Management , L4 Promotions, Objective Setting and Review, Compensation and benefits,  Accenture Leadership payroll planning and affordability and  Accenture Leadership Headcount tracking. Create and enforce service level agreements for standard processes created to support the  Accenture Leadership Service Delivery function Accenture Leadership Business Support. Assess risks and provide mitigating solutions as needed for personnel action requests. Provide guidance to Shared Services Planning and Tracking team in processing of  Accenture Leadership transition requests. Ensure local regulations/laws are adhered to for individual  Accenture Leadership's. Act as a central point of contact for local HR leads and HR Business Partners. Understand payroll impacts and ensure risks and issues are identified Accenture Leadership Planning and Tracking. Manage and support efforts to design, build, test and release a centralized tool and process to capture  Accenture Leadership headcount movement activities (i.e. departures, hires, transfer, other activity), with full reporting capabilities. Review and provide input regarding system updates, collaborate with CoE to influence improvements and participate in system testing. Develop and conduct training of business support and/or end-users of the tools used across activities for  Accenture Leadership planning and tracking. Create and maintain SLA for headcount tracking and planning, raise risk areas for review. Responsible for the management of  Accenture Leadership headcount and related data points, including maintenance of complete, accurate system data and distribution of supporting reports and rosters. Serve as escalation point and/or offer solutions and support to key groups in service delivery across  Accenture Leadership processes.;Requires analysis and solving of moderately complex problems. May create new solutions, leveraging and, where needed, adapting existing methods and procedures. Requires understanding of the strategic direction set by senior management as it relates to team goals. Primary upward interaction is with direct supervisor. May interact with peers and/or management levels at a client and/or within Accenture.Requires guidance when determining methods and procedures on new assignments.Decisions often impact the team in which they reside.Manages small teams and/or work efforts at a client or within Accenture.
Accenture Leadership Services Management Senior Analyst;Support Accenture Leadership processes including but not limited to performance & personnel management, promotions, objective setting, planning & affordability, headcount tracking & business support. Integrate, deliver and/or help planning standard tools, materials & data for these processes by interfacing with key groups involved. Streamline/standardize delivery across geographies & entity support teams. Build & maintain relationships with key teams across finance, HR, mobility & other areas.;Human Resources;Manage relationships with stakeholder group and key individuals aligned to DTEs, GUs and CoEs. Apply knowledge of various global entities, geographies, processes, as well as the company's strategic business objectives to successfully execute responsibilities. Ensure that all activities are executed to minimize risk to Accenture, make sure that new precedents are appropriate to the business and Legal is involved as needed in all  Accenture Leadership Matters. Serve as a deep subject matter expert in  Accenture Leadership Matters providing guidance on sensitive situations and policies. Work with other teams to design, support and deliver standard tools, materials, process and data to implement and execute processes. Ensure the effective delivery of HRSS tools and materials according to defined schedule. Responsible for the delivery and execution of standardized processes and programs that support  Accenture Leadership i.e.  Accenture Leadership Performance Management , L4 Promotions, Objective Setting and Review, Compensation and benefits,  Accenture Leadership payroll planning and affordability and  Accenture Leadership Headcount tracking. Create and enforce service level agreements for standard processes created to support the  Accenture Leadership Service Delivery function Accenture Leadership Business Support. Assess risks and provide mitigating solutions as needed for personnel action requests. Provide guidance to Shared Services Planning and Tracking team in processing of  Accenture Leadership transition requests. Ensure local regulations/laws are adhered to for individual  Accenture Leadership's. Act as a central point of contact for local HR leads and HR Business Partners. Understand payroll impacts and ensure risks and issues are identified Accenture Leadership Planning and Tracking. Manage and support efforts to design, build, test and release a centralized tool and process to capture  Accenture Leadership headcount movement activities (i.e. departures, hires, transfer, other activity), with full reporting capabilities. Review and provide input regarding system updates, collaborate with CoE to influence improvements and participate in system testing. Develop and conduct training of business support and/or end-users of the tools used across activities for  Accenture Leadership planning and tracking. Create and maintain SLA for headcount tracking and planning, raise risk areas for review. Responsible for the management of  Accenture Leadership headcount and related data points, including maintenance of complete, accurate system data and distribution of supporting reports and rosters. Serve as escalation point and/or offer solutions and support to key groups in service delivery across  Accenture Leadership processes.;Requires analysis and solving of increasingly complex problems. Interaction is with peers within Accenture before updating supervisors.and Likely has some interaction with clients and/or Accenture management.Requires minimal instruction on daily work tasks and a moderate level of instruction on new assignments.Decisions impact own work and may impact the work of others.Individual contributor and/or oversees a small work effort and/or team.
Accenture Leadership Services Management Analyst;Support Accenture Leadership processes including but not limited to performance & personnel management, promotions, objective setting, planning & affordability, headcount tracking & business support. Integrate, deliver and/or help planning standard tools, materials & data for these processes by interfacing with key groups involved. Streamline/standardize delivery across geographies & entity support teams. Build & maintain relationships with key teams across finance, HR, mobility & other areas.;Human Resources;Manage relationships with stakeholder group and key individuals aligned to DTEs, GUs and CoEs. Apply knowledge of various global entities, geographies, processes, as well as the company's strategic business objectives to successfully execute responsibilities. Ensure that all activities are executed to minimize risk to Accenture, make sure that new precedents are appropriate to the business and Legal is involved as needed in all  Accenture Leadership Matters. Serve as a deep subject matter expert in  Accenture Leadership Matters providing guidance on sensitive situations and policies. Work with other teams to design, support and deliver standard tools, materials, process and data to implement and execute processes. Ensure the effective delivery of HRSS tools and materials according to defined schedule. Responsible for the delivery and execution of standardized processes and programs that support  Accenture Leadership i.e.  Accenture Leadership Performance Management , L4 Promotions, Objective Setting and Review, Compensation and benefits,  Accenture Leadership payroll planning and affordability and  Accenture Leadership Headcount tracking. Create and enforce service level agreements for standard processes created to support the  Accenture Leadership Service Delivery function Accenture Leadership Business Support. Assess risks and provide mitigating solutions as needed for personnel action requests. Provide guidance to Shared Services Planning and Tracking team in processing of  Accenture Leadership transition requests. Ensure local regulations/laws are adhered to for individual  Accenture Leadership's. Act as a central point of contact for local HR leads and HR Business Partners. Understand payroll impacts and ensure risks and issues are identified Accenture Leadership Planning and Tracking. Manage and support efforts to design, build, test and release a centralized tool and process to capture  Accenture Leadership headcount movement activities (i.e. departures, hires, transfer, other activity), with full reporting capabilities. Review and provide input regarding system updates, collaborate with CoE to influence improvements and participate in system testing. Develop and conduct training of business support and/or end-users of the tools used across activities for  Accenture Leadership planning and tracking. Create and maintain SLA for headcount tracking and planning, raise risk areas for review. Responsible for the management of  Accenture Leadership headcount and related data points, including maintenance of complete, accurate system data and distribution of supporting reports and rosters. Serve as escalation point and/or offer solutions and support to key groups in service delivery across  Accenture Leadership processes.;Requires analysis and solving of lower-complexity problems. Interaction is with peers within Accenture before updating supervisors.and Likely has limited exposure with clients and/or Accenture management.Requires moderate level of instruction on daily work tasks and detailed instructions on new assignments.Decisions impact own work and may impact the work of others.Individual contributor as a part of a team, with a focused scope of work.
Actuarial Senior Manager;Work as a team member or individual specialist on an implementation, enhancement, integration or special project. Provide expertise to analyze customer product specifications and integrate customer products with the solution. Provide pre-sales support when needed.;Business & Technology Integration;Work on single/multiproduct projects, with multiple computer environments where design is very complex. Develop understanding of customer's products and how products will be integrated with solution through interfacing with customer's actuarial resources. Interview customer peers during requirements gathering exercises and document findings. Facilitate/manage design sessions regarding business functionality and/or product logic with customer. Test system against customer's system. Identify gaps between customer requirements and solution and propose ideas to address issues. Write detailed actuarial specifications and functional specifications from limited BSR(s), or with no BSR(s), through discussions with customers. Perform product design, configuration, loading and values testing. Manage base product data for base platform for multiple geographies. Using knowledge of regulations, calculations and processing, guide discussions with customers regarding at least two of the following product types: UL/VUL, Traditional Products, Deferred Annuities and Immediate Annuities. Perform product configuration training for internal and external audiences. Share business knowledge with subordinate or peer business analysts through mentoring and/or group presentations. Contribute to the base product direction relating to product configuration and functionality. Write functional specifications for multiple solutions: Administration, Payout Administration, Application, Illustrations Calculations and Illustrations. Author and update product documentation. Estimate time frames, quality and quantity of resources required to successfully implement project assist in developing project plan. Provide periodic status checks with customers and team to assess progress against plan perform reforecast of project variables as necessary. Prepare status reports on all project activities. Serve as advisory level presales support and post sales technical support specialist. Act as a liaison between customers and company. Coordinate project resources according to a schedule. Provide guidance to other consultants and technical support staff. Design complexity may vary with single or multiple products and involve multiple computer environments.;Requires identifying and assessing complex problems for area(s) of responsibility.  Creates solutions in situations in which analysis requires in-depth knowledge of organizational objectives. Requires involvement in setting strategic direction to establish near-term goals for area(s) of responsibility. Interaction is with senior management levels at a client and/or within Accenture, involving negotiating or influencing on significant matters.Latitude in decision-making and determination of objectives and approaches to critical assignments.Decisions have a lasting impact on area of responsibility with the potential to impact areas outside of own responsibility.Manages large teams and/or work efforts at a client or within Accenture.
Actuarial Manager;Work as a team member or individual specialist on an implementation, enhancement, integration or special project. Provide expertise to analyze customer product specifications and integrate customer products with the solution. Provide pre-sales support when needed.;Business & Technology Integration;Work on single/multiproduct projects, with multiple computer environments where design is very complex. Develop understanding of customer's products and how products will be integrated with solution through interfacing with customer's actuarial resources. Interview customer peers during requirements gathering exercises and document findings. Facilitate/manage design sessions regarding business functionality and/or product logic with customer. Test system against customer's system. Identify gaps between customer requirements and solution and propose ideas to address issues. Write detailed actuarial specifications and functional specifications from limited BSR(s), or with no BSR(s), through discussions with customers. Perform product design, configuration, loading and values testing. Manage base product data for base platform for multiple geographies. Using knowledge of regulations, calculations and processing, guide discussions with customers regarding at least two of the following product types: UL/VUL, Traditional Products, Deferred Annuities and Immediate Annuities. Perform product configuration training for internal and external audiences. Share business knowledge with subordinate or peer business analysts through mentoring and/or group presentations. Contribute to the base product direction relating to product configuration and functionality. Write functional specifications for multiple solutions: Administration, Payout Administration, Application, Illustrations Calculations and Illustrations. Author and update product documentation. Estimate time frames, quality and quantity of resources required to successfully implement project assist in developing project plan. Provide periodic status checks with customers and team to assess progress against plan perform reforecast of project variables as necessary. Prepare status reports on all project activities. Serve as advisory level presales support and post sales technical support specialist. Act as a liaison between customers and company. Coordinate project resources according to a schedule. Provide guidance to other consultants and technical support staff. Design complexity may vary with single or multiple products and involve multiple computer environments.;Requires identifying and assessing complex problems for area of responsibility.  Creates solutions in situations in which analysis requires an in-depth evaluation of variable factors. Requires adherence to strategic direction set by senior management when establishing near-term goals. Interaction is with senior management at a client and/or within Accenture, involving matters that may require acceptance of an alternate approach.Some latitude in decision-making.  Acts independently to determine methods and procedures on new assignments.Decisions have a major day to day impact on area of responsibility.Manages large - medium sized teams and/or work efforts at a client or within Accenture.
Actuarial Associate Manager;Work as a team member or individual specialist on an implementation, enhancement, integration or special project. Provide expertise to analyze customer product specifications and integrate customer products with the solution. Provide pre-sales support when needed.;Business & Technology Integration;Work on single/multiproduct projects, with multiple computer environments where design is very complex. Develop understanding of customer's products and how products will be integrated with solution through interfacing with customer's actuarial resources. Interview customer peers during requirements gathering exercises and document findings. Facilitate/manage design sessions regarding business functionality and/or product logic with customer. Test system against customer's system. Identify gaps between customer requirements and solution and propose ideas to address issues. Write detailed actuarial specifications and functional specifications from limited BSR(s), or with no BSR(s), through discussions with customers. Perform product design, configuration, loading and values testing. Manage base product data for base platform for multiple geographies. Using knowledge of regulations, calculations and processing, guide discussions with customers regarding at least two of the following product types: UL/VUL, Traditional Products, Deferred Annuities and Immediate Annuities. Perform product configuration training for internal and external audiences. Share business knowledge with subordinate or peer business analysts through mentoring and/or group presentations. Contribute to the base product direction relating to product configuration and functionality. Write functional specifications for multiple solutions: Administration, Payout Administration, Application, Illustrations Calculations and Illustrations. Author and update product documentation. Estimate time frames, quality and quantity of resources required to successfully implement project assist in developing project plan. Provide periodic status checks with customers and team to assess progress against plan perform reforecast of project variables as necessary. Prepare status reports on all project activities. Serve as advisory level presales support and post sales technical support specialist. Act as a liaison between customers and company. Coordinate project resources according to a schedule. Provide guidance to other consultants and technical support staff. Design complexity may vary with single or multiple products and involve multiple computer environments.;Requires analysis and solving of moderately complex problems. Typically creates new solutions, leveraging and, where needed, adapting existing methods and procedures. Requires understanding of the strategic direction set by senior management as it relates to team goals. Primary upward interaction is with direct supervisor or team leads.and Generally interacts with peers and/or management levels at a client and/or within Accenture.Requires minimal guidance when determining methods and procedures on new assignments.Decisions often impact the team in which they reside and occasionally impact other teams.Manages medium-small sized teams and/or work efforts at a client or within Accenture.
Actuarial Specialist;Work as a team member or individual specialist on an implementation, enhancement, integration or special project. Provide expertise to analyze customer product specifications and integrate customer products with the solution. Provide pre-sales support when needed.;Business & Technology Integration;Work on single/multiproduct projects, with multiple computer environments where design is very complex. Develop understanding of customer's products and how products will be integrated with solution through interfacing with customer's actuarial resources. Interview customer peers during requirements gathering exercises and document findings. Facilitate/manage design sessions regarding business functionality and/or product logic with customer. Test system against customer's system. Identify gaps between customer requirements and solution and propose ideas to address issues. Write detailed actuarial specifications and functional specifications from limited BSR(s), or with no BSR(s), through discussions with customers. Perform product design, configuration, loading and values testing. Manage base product data for base platform for multiple geographies. Using knowledge of regulations, calculations and processing, guide discussions with customers regarding at least two of the following product types: UL/VUL, Traditional Products, Deferred Annuities and Immediate Annuities. Perform product configuration training for internal and external audiences. Share business knowledge with subordinate or peer business analysts through mentoring and/or group presentations. Contribute to the base product direction relating to product configuration and functionality. Write functional specifications for multiple solutions: Administration, Payout Administration, Application, Illustrations Calculations and Illustrations. Author and update product documentation. Estimate time frames, quality and quantity of resources required to successfully implement project assist in developing project plan. Provide periodic status checks with customers and team to assess progress against plan perform reforecast of project variables as necessary. Prepare status reports on all project activities. Serve as advisory level presales support and post sales technical support specialist. Act as a liaison between customers and company. Coordinate project resources according to a schedule. Provide guidance to other consultants and technical support staff. Design complexity may vary with single or multiple products and involve multiple computer environments.;Requires analysis and solving of moderately complex problems. May create new solutions, leveraging and, where needed, adapting existing methods and procedures. Requires understanding of the strategic direction set by senior management as it relates to team goals. Primary upward interaction is with direct supervisor. May interact with peers and/or management levels at a client and/or within Accenture.Requires guidance when determining methods and procedures on new assignments.Decisions often impact the team in which they reside.Manages small teams and/or work efforts at a client or within Accenture.
